order_id,customer_name,email,product,category,amount,unit_price,order_date,country,status
ORD-00029,Andrei Ionescu,andrei.ionescu29@example.com,docking_station,accessories,3,236.12,2025-12-10,Romania,failed
ORD-00030,Eleni Papadopoulos,eleni.papadopoulos30@example.com,graphics_tablet,electronics,5,307.59,2025-05-07,Greece,paid
ORD-00031,Anna Müller,anna.muller31@example.com,usb_hub,accessories,1,45.64,2025-04-28,Germany,paid
ORD-00032,Aiko Tanaka,aiko.tanaka32@example.com,monitor,electronics,1,401.78,2025-01-17,Japan,failed
ORD-00033,Lukas Schneider,lukas.schneider33@example.com,tablet,electronics,2,762.00,2025-09-06,Germany,paid
ORD-00034,Valentina Rojas,valentina.rojas34@example.com,docking_station,accessories,5,242.93,2025-05-05,Chile,cancelled
ORD-00035,Ana Petrović,ana.petrovic35@example.com,mouse,accessories,1,32.74,2025-08-09,Serbia,failed
ORD-00036,Zuzana Nováková,zuzana.novakova36@example.com,webcam,electronics,4,137.57,2025-01-28,Slovakia,paid
ORD-00037,Étienne Moreau,etienne.moreau37@example.com,webcam,electronics,3,136.25,2025-02-25,France,paid
ORD-00038,Elena Popescu,elena.popescu38@example.com,mouse,accessories,5,34.71,2025-08-05,Romania,paid
ORD-00039,Trần Quốc Bảo,tran.quoc.bao39@example.com,headphones,electronics,2,222.58,2025-02-08,Vietnam,cancelled
ORD-00040,Emma Johnson,emma.johnson40@example.com,laptop,electronics,5,1580.65,2025-02-17,United States,paid
ORD-00041,Emre Kaya,emre.kaya41@example.com,webcam,electronics,4,129.61,2025-07-25,Türkiye,paid
ORD-00042,Emre Kaya,emre.kaya42@example.com,webcam,electronics,1,140.09,2025-05-16,Türkiye,cancelled
ORD-00043,Nur Aisyah,nur.aisyah43@example.com,webcam,electronics,5,133.37,2025-09-07,Malaysia,paid
ORD-00044,Elena Popescu,elena.popescu44@example.com,desk_chair,furniture,2,731.00,2025-10-24,Romania,paid
ORD-00045,Amina Yusuf,amina.yusuf45@example.com,laptop,electronics,1,1520.20,2025-09-15,Nigeria,paid
ORD-00046,Étienne Moreau,etienne.moreau46@example.com,tablet,electronics,1,834.41,2025-02-05,France,paid
ORD-00047,Mei Lin,mei.lin47@example.com,webcam,electronics,1,139.19,2025-10-19,China,paid
ORD-00048,Javier Martínez,javier.martinez48@example.com,smartphone,electronics,1,967.33,2025-10-26,Spain,failed
ORD-00049,Seo-yeon Park,seo.yeon.park49@example.com,mouse,accessories,3,33.54,2025-07-22,South Korea,paid
ORD-00050,Fatima Zahra,fatima.zahra50@example.com,headphones,electronics,3,224.42,2025-02-07,Morocco,paid
ORD-00051,Isabella Santos,isabella.santos51@example.com,smartphone,electronics,5,1057.79,2025-02-07,Philippines,paid
ORD-00052,Maya Cohen,maya.cohen52@example.com,desk_chair,furniture,2,727.14,2025-02-05,Israel,paid
ORD-00053,Erik Johansen,erik.johansen53@example.com,desk_chair,furniture,2,673.27,2025-10-06,Norway,pending
ORD-00054,Kenji Sato,kenji.sato54@example.com,external_ssd,storage,5,159.70,2025-12-06,Japan,paid
ORD-00055,Matías Fernández,matias.fernandez55@example.com,desk_chair,furniture,1,722.40,2025-10-11,Chile,paid
ORD-00056,Nguyễn Minh Anh,nguyen.minh.anh56@example.com,desk_chair,furniture,5,648.52,2025-06-25,Vietnam,paid
ORD-00057,Seo-yeon Park,seo.yeon.park57@example.com,tablet,electronics,4,758.54,2025-01-27,South Korea,paid
ORD-00058,Zuzana Nováková,zuzana.novakova58@example.com,office_desk,furniture,3,500.61,2025-06-20,Slovakia,paid
ORD-00059,Seo-yeon Park,seo.yeon.park59@example.com,keyboard,accessories,4,95.79,2025-08-07,South Korea,paid
ORD-00060,Camila Silva,camila.silva60@example.com,monitor,electronics,2,423.06,2025-07-09,Brazil,paid
ORD-00061,Jakub Horváth,jakub.horvath61@example.com,keyboard,accessories,1,92.09,2025-01-21,Slovakia,failed
ORD-00062,Iryna Kovalenko,iryna.kovalenko62@example.com,external_ssd,storage,2,169.41,2025-07-01,Ukraine,refunded
ORD-00063,Diego Ramírez,diego.ramirez63@example.com,graphics_tablet,electronics,2,328.08,2025-04-01,Mexico,refunded
ORD-00064,Luca Bianchi,luca.bianchi64@example.com,keyboard,accessories,3,99.29,2025-07-30,Italy,paid
ORD-00065,Nguyễn Minh Anh,nguyen.minh.anh65@example.com,keyboard,accessories,1,93.21,2025-01-20,Vietnam,cancelled
ORD-00066,Priya Sharma,priya.sharma66@example.com,mouse,accessories,4,34.16,2025-04-27,India,paid
ORD-00067,Luca Bianchi,luca.bianchi67@example.com,external_ssd,storage,2,162.32,2025-05-23,Italy,paid
ORD-00068,Trần Quốc Bảo,tran.quoc.bao68@example.com,usb_hub,accessories,5,44.28,2025-10-02,Vietnam,failed
ORD-00069,Luca Bianchi,luca.bianchi69@example.com,monitor,electronics,3,398.40,2025-05-16,Italy,paid
ORD-00070,Noah Williams,noah.williams70@example.com,smartphone,electronics,4,955.80,2025-06-10,United States,refunded
ORD-00071,Noam Levi,noam.levi71@example.com,monitor,electronics,4,446.85,2025-04-08,Israel,pending
ORD-00072,Javier Martínez,javier.martinez72@example.com,docking_station,accessories,4,220.86,2025-10-03,Spain,paid
ORD-00073,Ingrid Hansen,ingrid.hansen73@example.com,webcam,electronics,1,139.34,2025-06-19,Norway,failed
ORD-00074,Rafael Oliveira,rafael.oliveira74@example.com,docking_station,accessories,3,240.27,2025-12-08,Brazil,refunded
ORD-00075,Chinedu Okafor,chinedu.okafor75@example.com,webcam,electronics,3,131.13,2025-04-09,Nigeria,refunded
ORD-00076,Freja Nielsen,freja.nielsen76@example.com,external_ssd,storage,2,168.05,2025-06-04,Denmark,refunded
ORD-00077,Aiko Tanaka,aiko.tanaka77@example.com,desk_chair,furniture,3,648.47,2025-10-24,Japan,failed
ORD-00078,Miguel Reyes,miguel.reyes78@example.com,headphones,electronics,4,215.90,2025-09-19,Philippines,cancelled
ORD-00079,Emre Kaya,emre.kaya79@example.com,external_ssd,storage,1,159.29,2025-12-06,Türkiye,failed
ORD-00080,Ethan Brown,ethan.brown80@example.com,office_desk,furniture,2,554.93,2025-04-26,United Kingdom,paid
ORD-00081,Lucía Herrera,lucia.herrera81@example.com,laptop,electronics,1,1438.76,2025-09-01,Mexico,paid
ORD-00082,Isabella Santos,isabella.santos82@example.com,webcam,electronics,5,123.64,2025-12-23,Philippines,refunded
ORD-00083,Liam Tremblay,liam.tremblay83@example.com,webcam,electronics,2,122.67,2025-12-19,Canada,paid
ORD-00084,Noah Williams,noah.williams84@example.com,mechanical_keyboard,accessories,4,138.48,2025-12-23,United States,cancelled
ORD-00085,Claire Dubois,claire.dubois85@example.com,tablet,electronics,2,842.77,2025-03-04,France,cancelled
ORD-00086,Matías Fernández,matias.fernandez86@example.com,mechanical_keyboard,accessories,4,148.89,2025-10-14,Chile,failed
ORD-00087,Eleni Papadopoulos,eleni.papadopoulos87@example.com,smartphone,electronics,5,968.51,2025-10-08,Greece,cancelled
ORD-00088,Merve Yılmaz,merve.ylmaz88@example.com,docking_station,accessories,4,238.08,2025-05-07,Türkiye,pending
ORD-00089,Mia Anderson,mia.anderson89@example.com,external_ssd,storage,2,159.05,2025-02-09,Canada,pending
ORD-00090,Mei Lin,mei.lin90@example.com,desk_chair,furniture,3,660.38,2025-10-04,China,paid
ORD-00091,Matías Fernández,matias.fernandez91@example.com,keyboard,accessories,2,93.22,2025-03-20,Chile,paid
ORD-00092,Anna Müller,anna.muller92@example.com,webcam,electronics,4,126.48,2025-08-27,Germany,refunded
ORD-00093,Étienne Moreau,etienne.moreau93@example.com,mouse,accessories,4,34.38,2025-10-27,France,paid
ORD-00094,Freja Nielsen,freja.nielsen94@example.com,headphones,electronics,1,224.88,2025-06-02,Denmark,refunded
ORD-00095,Marko Jovanović,marko.jovanovic95@example.com,tablet,electronics,5,827.90,2025-04-23,Serbia,cancelled
ORD-00096,Priya Sharma,priya.sharma96@example.com,desk_chair,furniture,4,678.44,2025-07-19,India,failed
ORD-00097,Matti Korhonen,matti.korhonen97@example.com,docking_station,accessories,2,253.08,2025-03-07,Finland,paid
ORD-00098,Helena Virtanen,helena.virtanen98@example.com,smartphone,electronics,5,1005.56,2025-02-12,Finland,refunded
ORD-00099,Matías Fernández,matias.fernandez99@example.com,office_desk,furniture,4,512.50,2025-05-14,Chile,refunded
ORD-00100,Chinedu Okafor,chinedu.okafor100@example.com,mouse,accessories,4,34.03,2025-07-14,Nigeria,pending
ORD-00101,Marko Jovanović,marko.jovanovic101@example.com,desk_chair,furniture,1,676.77,2025-10-04,Serbia,paid
ORD-00102,Sigríður Jónsdóttir,sigriur.jonsdottir102@example.com,mouse,accessories,1,36.57,2025-11-30,Iceland,paid
ORD-00103,Luca Bianchi,luca.bianchi103@example.com,mouse,accessories,2,36.90,2025-11-15,Italy,paid
ORD-00104,Mei Lin,mei.lin104@example.com,keyboard,accessories,4,97.58,2025-10-16,China,paid
ORD-00105,Miguel Reyes,miguel.reyes105@example.com,docking_station,accessories,3,250.25,2025-03-27,Philippines,paid
ORD-00106,Merve Yılmaz,merve.ylmaz106@example.com,desk_chair,furniture,1,688.56,2025-06-09,Türkiye,refunded
ORD-00107,Helena Virtanen,helena.virtanen107@example.com,docking_station,accessories,2,223.72,2025-12-20,Finland,paid
ORD-00108,Noah Williams,noah.williams108@example.com,docking_station,accessories,3,253.45,2025-11-04,United States,paid
ORD-00109,Javier Martínez,javier.martinez109@example.com,usb_hub,accessories,5,44.48,2025-07-09,Spain,paid
ORD-00110,Maya Cohen,maya.cohen110@example.com,external_ssd,storage,3,152.13,2025-08-04,Israel,cancelled
ORD-00111,Noah Williams,noah.williams111@example.com,webcam,electronics,3,132.82,2025-08-24,United States,paid
ORD-00112,Jakub Horváth,jakub.horvath112@example.com,keyboard,accessories,5,102.08,2025-05-19,Slovakia,cancelled
ORD-00113,Miguel Reyes,miguel.reyes113@example.com,webcam,electronics,5,125.18,2025-05-06,Philippines,paid
ORD-00114,Trần Quốc Bảo,tran.quoc.bao114@example.com,graphics_tablet,electronics,4,297.30,2025-08-26,Vietnam,refunded
ORD-00115,Sipho Dlamini,sipho.dlamini115@example.com,laptop,electronics,4,1584.23,2025-04-04,South Africa,cancelled
ORD-00116,Oleksandr Bondarenko,oleksandr.bondarenko116@example.com,usb_hub,accessories,3,43.85,2025-11-02,Ukraine,pending
ORD-00117,Kenji Sato,kenji.sato117@example.com,tablet,electronics,2,737.62,2025-07-28,Japan,cancelled
ORD-00118,Mei Lin,mei.lin118@example.com,docking_station,accessories,4,245.60,2025-09-09,China,cancelled
ORD-00119,Sofia Rossi,sofia.rossi119@example.com,monitor,electronics,3,401.29,2025-12-21,Italy,paid
ORD-00120,Youssef El Amrani,youssef.el.amrani120@example.com,external_ssd,storage,5,161.54,2025-10-11,Morocco,failed
ORD-00121,Zuzana Nováková,zuzana.novakova121@example.com,docking_station,accessories,5,233.50,2025-12-26,Slovakia,cancelled
ORD-00122,Nguyễn Minh Anh,nguyen.minh.anh122@example.com,desk_chair,furniture,3,650.68,2025-04-09,Vietnam,failed
ORD-00123,Rafael Oliveira,rafael.oliveira123@example.com,docking_station,accessories,5,257.31,2025-12-20,Brazil,paid
ORD-00124,Elena Popescu,elena.popescu124@example.com,mouse,accessories,4,33.75,2025-10-29,Romania,pending
ORD-00125,Emma Johnson,emma.johnson125@example.com,office_desk,furniture,2,522.40,2025-07-04,United States,paid
ORD-00126,Fatima Zahra,fatima.zahra126@example.com,laptop,electronics,5,1410.38,2025-01-24,Morocco,paid
ORD-00127,Amir Hakim,amir.hakim127@example.com,docking_station,accessories,2,245.29,2025-09-09,Malaysia,paid
ORD-00128,Kenji Sato,kenji.sato128@example.com,smartphone,electronics,3,975.20,2025-08-14,Japan,failed
ORD-00129,Piotr Nowak,piotr.nowak129@example.com,laptop,electronics,3,1605.86,2025-09-02,Poland,paid
ORD-00130,Anna Müller,anna.muller130@example.com,webcam,electronics,4,121.14,2025-11-19,Germany,paid
ORD-00131,Diego Ramírez,diego.ramirez131@example.com,keyboard,accessories,5,101.83,2025-02-13,Mexico,paid
ORD-00132,Rafael Oliveira,rafael.oliveira132@example.com,tablet,electronics,4,803.44,2025-11-13,Brazil,paid
ORD-00133,Freja Nielsen,freja.nielsen133@example.com,headphones,electronics,4,203.19,2025-10-29,Denmark,refunded
ORD-00134,Youssef El Amrani,youssef.el.amrani134@example.com,smartphone,electronics,5,911.04,2025-02-20,Morocco,paid
ORD-00135,Oleksandr Bondarenko,oleksandr.bondarenko135@example.com,desk_chair,furniture,1,642.69,2025-03-30,Ukraine,paid
ORD-00136,Merve Yılmaz,merve.ylmaz136@example.com,laptop,electronics,4,1488.12,2025-11-01,Türkiye,cancelled
ORD-00137,Amir Hakim,amir.hakim137@example.com,laptop,electronics,2,1449.15,2025-05-25,Malaysia,cancelled
ORD-00138,Lukas Schneider,lukas.schneider138@example.com,external_ssd,storage,2,176.19,2025-11-17,Germany,paid
ORD-00139,Zuzana Nováková,zuzana.novakova139@example.com,monitor,electronics,5,401.51,2025-03-18,Slovakia,pending
ORD-00140,Lucía Herrera,lucia.herrera140@example.com,monitor,electronics,1,397.55,2025-06-07,Mexico,pending
ORD-00141,Eleni Papadopoulos,eleni.papadopoulos141@example.com,monitor,electronics,4,432.68,2025-12-25,Greece,refunded
ORD-00142,Nguyễn Minh Anh,nguyen.minh.anh142@example.com,tablet,electronics,5,789.22,2025-02-11,Vietnam,paid
ORD-00143,Jakub Horváth,jakub.horvath143@example.com,docking_station,accessories,3,243.98,2025-01-14,Slovakia,paid
ORD-00144,Arjun Mehta,arjun.mehta144@example.com,external_ssd,storage,5,167.30,2025-01-11,India,pending
ORD-00145,Javier Martínez,javier.martinez145@example.com,mechanical_keyboard,accessories,2,144.32,2025-11-30,Spain,cancelled
ORD-00146,Trần Quốc Bảo,tran.quoc.bao146@example.com,keyboard,accessories,5,94.03,2025-09-09,Vietnam,paid
ORD-00147,Amelia Wilson,amelia.wilson147@example.com,usb_hub,accessories,4,43.80,2025-12-10,Australia,paid
ORD-00148,Merve Yılmaz,merve.ylmaz148@example.com,usb_hub,accessories,4,46.39,2025-05-28,Türkiye,refunded
ORD-00149,María García,maria.garcia149@example.com,headphones,electronics,1,203.77,2025-06-15,Spain,paid
ORD-00150,Matti Korhonen,matti.korhonen150@example.com,office_desk,furniture,5,568.07,2025-01-01,Finland,cancelled
ORD-00151,Ana Petrović,ana.petrovic151@example.com,laptop,electronics,2,1504.43,2025-11-15,Serbia,cancelled
ORD-00152,Eleni Papadopoulos,eleni.papadopoulos152@example.com,mechanical_keyboard,accessories,1,138.12,2025-10-09,Greece,paid
ORD-00153,Nur Aisyah,nur.aisyah153@example.com,headphones,electronics,4,197.28,2025-11-19,Malaysia,paid
ORD-00154,Merve Yılmaz,merve.ylmaz154@example.com,desk_chair,furniture,5,627.09,2025-07-28,Türkiye,paid
ORD-00155,Priya Sharma,priya.sharma155@example.com,office_desk,furniture,1,536.67,2025-03-02,India,paid
ORD-00156,Liam Tremblay,liam.tremblay156@example.com,graphics_tablet,electronics,3,310.44,2025-05-20,Canada,refunded
ORD-00157,Jack Thompson,jack.thompson157@example.com,headphones,electronics,2,208.55,2025-03-16,Australia,refunded
ORD-00158,Elena Popescu,elena.popescu158@example.com,graphics_tablet,electronics,5,310.41,2025-03-11,Romania,paid
ORD-00159,Trần Quốc Bảo,tran.quoc.bao159@example.com,mechanical_keyboard,accessories,4,141.29,2025-09-17,Vietnam,pending
ORD-00160,Aiko Tanaka,aiko.tanaka160@example.com,desk_chair,furniture,3,716.72,2025-10-24,Japan,cancelled
ORD-00161,Diego Ramírez,diego.ramirez161@example.com,headphones,electronics,5,209.47,2025-06-20,Mexico,refunded
ORD-00162,Isabella Santos,isabella.santos162@example.com,graphics_tablet,electronics,3,328.33,2025-12-24,Philippines,paid
ORD-00163,Mikkel Sørensen,mikkel.srensen163@example.com,mouse,accessories,4,32.44,2025-08-31,Denmark,refunded
ORD-00164,Mikkel Sørensen,mikkel.srensen164@example.com,external_ssd,storage,2,164.88,2025-01-19,Denmark,paid
ORD-00165,Maya Cohen,maya.cohen165@example.com,smartphone,electronics,3,1037.97,2025-08-14,Israel,paid
ORD-00166,Isabella Santos,isabella.santos166@example.com,laptop,electronics,2,1478.39,2025-12-02,Philippines,paid
ORD-00167,Lukas Schneider,lukas.schneider167@example.com,headphones,electronics,3,204.58,2025-12-21,Germany,refunded
ORD-00168,Olivia Smith,olivia.smith168@example.com,office_desk,furniture,3,570.44,2025-10-01,United Kingdom,refunded
ORD-00169,Amina Yusuf,amina.yusuf169@example.com,external_ssd,storage,4,174.83,2025-01-19,Nigeria,paid
ORD-00170,Mei Lin,mei.lin170@example.com,external_ssd,storage,3,178.13,2025-02-16,China,refunded
ORD-00171,Emma Johnson,emma.johnson171@example.com,mechanical_keyboard,accessories,1,143.69,2025-12-22,United States,pending
ORD-00172,Luca Bianchi,luca.bianchi172@example.com,laptop,electronics,3,1571.07,2025-05-31,Italy,failed
ORD-00173,Erik Johansen,erik.johansen173@example.com,webcam,electronics,2,124.68,2025-07-30,Norway,paid
ORD-00174,Emre Kaya,emre.kaya174@example.com,keyboard,accessories,1,96.66,2025-07-15,Türkiye,paid
ORD-00175,Liam Tremblay,liam.tremblay175@example.com,graphics_tablet,electronics,5,292.30,2025-08-25,Canada,pending
ORD-00176,Isabella Santos,isabella.santos176@example.com,desk_chair,furniture,1,723.40,2025-08-27,Philippines,pending
ORD-00177,Merve Yılmaz,merve.ylmaz177@example.com,monitor,electronics,4,449.92,2025-10-28,Türkiye,pending
ORD-00178,Zuzana Nováková,zuzana.novakova178@example.com,docking_station,accessories,3,238.34,2025-06-04,Slovakia,paid
ORD-00179,Mikkel Sørensen,mikkel.srensen179@example.com,office_desk,furniture,4,506.01,2025-07-15,Denmark,failed
ORD-00180,Amir Hakim,amir.hakim180@example.com,docking_station,accessories,3,221.64,2025-12-04,Malaysia,refunded
ORD-00181,Trần Quốc Bảo,tran.quoc.bao181@example.com,laptop,electronics,5,1587.62,2025-01-26,Vietnam,cancelled
ORD-00182,Nur Aisyah,nur.aisyah182@example.com,mechanical_keyboard,accessories,2,147.48,2025-06-30,Malaysia,paid
ORD-00183,Elena Popescu,elena.popescu183@example.com,smartphone,electronics,3,1007.87,2025-12-04,Romania,paid
ORD-00184,Emma Johnson,emma.johnson184@example.com,graphics_tablet,electronics,1,300.52,2025-08-14,United States,paid
ORD-00185,Ingrid Hansen,ingrid.hansen185@example.com,docking_station,accessories,2,224.26,2025-06-01,Norway,failed
ORD-00186,Marko Jovanović,marko.jovanovic186@example.com,keyboard,accessories,2,89.41,2025-10-04,Serbia,failed
ORD-00187,Maya Cohen,maya.cohen187@example.com,graphics_tablet,electronics,3,326.39,2025-05-12,Israel,cancelled
ORD-00188,Amir Hakim,amir.hakim188@example.com,docking_station,accessories,3,251.68,2025-08-28,Malaysia,paid
ORD-00189,Lucía Herrera,lucia.herrera189@example.com,mechanical_keyboard,accessories,2,153.36,2025-12-12,Mexico,refunded
ORD-00190,Ingrid Hansen,ingrid.hansen190@example.com,monitor,electronics,4,387.34,2025-10-02,Norway,paid
ORD-00191,Isabella Santos,isabella.santos191@example.com,usb_hub,accessories,3,45.61,2025-11-23,Philippines,failed
ORD-00192,Noah Williams,noah.williams192@example.com,external_ssd,storage,2,164.25,2025-11-14,United States,failed
ORD-00193,Priya Sharma,priya.sharma193@example.com,external_ssd,storage,1,168.57,2025-08-26,India,pending
ORD-00194,Ana Petrović,ana.petrovic194@example.com,monitor,electronics,2,389.45,2025-01-20,Serbia,pending
ORD-00195,Liam Tremblay,liam.tremblay195@example.com,monitor,electronics,1,402.18,2025-10-03,Canada,paid
ORD-00196,Mikkel Sørensen,mikkel.srensen196@example.com,headphones,electronics,3,215.73,2025-12-23,Denmark,refunded
ORD-00197,Diego Ramírez,diego.ramirez197@example.com,graphics_tablet,electronics,4,317.68,2025-09-08,Mexico,refunded
ORD-00198,Trần Quốc Bảo,tran.quoc.bao198@example.com,laptop,electronics,3,1432.14,2025-08-16,Vietnam,paid
ORD-00199,Ingrid Hansen,ingrid.hansen199@example.com,monitor,electronics,3,422.99,2025-11-27,Norway,failed
ORD-00200,Étienne Moreau,etienne.moreau200@example.com,webcam,electronics,3,123.55,2025-03-04,France,cancelled
ORD-00201,Ethan Brown,ethan.brown201@example.com,external_ssd,storage,2,168.74,2025-11-02,United Kingdom,paid
ORD-00202,Claire Dubois,claire.dubois202@example.com,mechanical_keyboard,accessories,3,139.05,2025-03-06,France,paid
ORD-00203,Anna Müller,anna.muller203@example.com,office_desk,furniture,5,514.70,2025-04-21,Germany,paid
ORD-00204,Thandiwe Ndlovu,thandiwe.ndlovu204@example.com,mechanical_keyboard,accessories,2,151.70,2025-11-02,South Africa,paid
ORD-00205,Trần Quốc Bảo,tran.quoc.bao205@example.com,office_desk,furniture,2,582.12,2025-10-04,Vietnam,pending
ORD-00206,Katarzyna Kowalska,katarzyna.kowalska206@example.com,monitor,electronics,1,395.26,2025-07-03,Poland,paid
ORD-00207,Chinedu Okafor,chinedu.okafor207@example.com,laptop,electronics,2,1443.69,2025-03-06,Nigeria,refunded
ORD-00208,Camila Silva,camila.silva208@example.com,docking_station,accessories,1,239.09,2025-07-05,Brazil,paid
ORD-00209,Nikos Georgiou,nikos.georgiou209@example.com,tablet,electronics,2,846.30,2025-01-23,Greece,pending
ORD-00210,Isabella Santos,isabella.santos210@example.com,external_ssd,storage,1,153.41,2025-09-03,Philippines,refunded
ORD-00211,Zuzana Nováková,zuzana.novakova211@example.com,external_ssd,storage,1,164.74,2025-08-16,Slovakia,paid
ORD-00212,Olivia Smith,olivia.smith212@example.com,usb_hub,accessories,5,42.47,2025-03-06,United Kingdom,pending
ORD-00213,Chinedu Okafor,chinedu.okafor213@example.com,webcam,electronics,5,130.64,2025-08-21,Nigeria,refunded
ORD-00214,Emma Johnson,emma.johnson214@example.com,mechanical_keyboard,accessories,1,153.18,2025-11-30,United States,paid
ORD-00215,Jakub Horváth,jakub.horvath215@example.com,headphones,electronics,2,207.10,2025-08-21,Slovakia,refunded
ORD-00216,Marko Jovanović,marko.jovanovic216@example.com,docking_station,accessories,1,232.80,2025-06-10,Serbia,pending
ORD-00217,Erik Johansen,erik.johansen217@example.com,keyboard,accessories,4,88.42,2025-02-13,Norway,paid
ORD-00218,Jakub Horváth,jakub.horvath218@example.com,monitor,electronics,3,440.95,2025-10-12,Slovakia,paid
ORD-00219,Thandiwe Ndlovu,thandiwe.ndlovu219@example.com,external_ssd,storage,1,162.65,2025-12-07,South Africa,refunded
ORD-00220,Claire Dubois,claire.dubois220@example.com,desk_chair,furniture,5,659.59,2025-02-23,France,paid
ORD-00221,Diego Ramírez,diego.ramirez221@example.com,external_ssd,storage,4,157.72,2025-02-25,Mexico,failed
ORD-00222,Erik Johansen,erik.johansen222@example.com,monitor,electronics,3,424.98,2025-08-08,Norway,paid
ORD-00223,Nguyễn Minh Anh,nguyen.minh.anh223@example.com,laptop,electronics,2,1445.58,2025-06-08,Vietnam,failed
ORD-00224,Sigríður Jónsdóttir,sigriur.jonsdottir224@example.com,laptop,electronics,2,1588.77,2025-10-17,Iceland,refunded
ORD-00225,Anna Müller,anna.muller225@example.com,keyboard,accessories,1,88.79,2025-09-29,Germany,paid
ORD-00226,Freja Nielsen,freja.nielsen226@example.com,webcam,electronics,4,126.69,2025-07-09,Denmark,pending
ORD-00227,Chinedu Okafor,chinedu.okafor227@example.com,mechanical_keyboard,accessories,5,147.23,2025-01-27,Nigeria,paid
ORD-00228,Merve Yılmaz,merve.ylmaz228@example.com,mechanical_keyboard,accessories,5,134.55,2025-02-11,Türkiye,pending
ORD-00229,Eleni Papadopoulos,eleni.papadopoulos229@example.com,external_ssd,storage,4,164.62,2025-08-15,Greece,refunded
ORD-00230,Nguyễn Minh Anh,nguyen.minh.anh230@example.com,mouse,accessories,5,32.84,2025-08-09,Vietnam,paid
ORD-00231,Nur Aisyah,nur.aisyah231@example.com,external_ssd,storage,5,164.65,2025-12-08,Malaysia,pending
ORD-00232,Javier Martínez,javier.martinez232@example.com,mouse,accessories,4,37.71,2025-01-29,Spain,paid
ORD-00233,Iryna Kovalenko,iryna.kovalenko233@example.com,desk_chair,furniture,2,709.09,2025-05-11,Ukraine,pending
ORD-00234,Chinedu Okafor,chinedu.okafor234@example.com,monitor,electronics,1,419.82,2025-08-09,Nigeria,paid
